Areaname,STCOU,LND010200D
"Humboldt, IA",19091,435.73
"Ida, IA",19093,432.23
"Iowa, IA",19095,587.35
"Jackson, IA",19097,649.75
"Jasper, IA",19099,732.93
"Jefferson, IA",19101,436.72
"Johnson, IA",19103,623.35
"Jones, IA",19105,576.7
"Keokuk, IA",19107,579.94
"Kossuth, IA",19109,974.39
"Lee, IA",19111,538.77
"Linn, IA",19113,724.55
"Louisa, IA",19115,417.64
"Lucas, IA",19117,434.17
"Lyon, IA",19119,587.63
"Madison, IA",19121,562.3
"Mahaska, IA",19123,573.4
"Marion, IA",19125,570.53
"Marshall, IA",19127,573.02
"Mills, IA",19129,439.67
"Mitchell, IA",19131,469.4
"Monona, IA",19133,698.85
"Monroe, IA",19135,434.11
"Montgomery, IA",19137,424.81
"Muscatine, IA",19139,449.07
"O'Brien, IA",19141,573.25
"Osceola, IA",19143,399.48
"Page, IA",19145,535.35
"Palo Alto, IA",19147,569.4
"Plymouth, IA",19149,863.96
"Pocahontas, IA",19151,579.13
"Polk, IA",19153,591.9
"Pottawattamie, IA",19155,959.94
"Poweshiek, IA",19157,586.17
"Ringgold, IA",19159,538.92
"Sac, IA",19161,578.38
"Scott, IA",19163,468.17
"Shelby, IA",19165,591.37
"Sioux, IA",19167,768.58
"Story, IA",19169,573.7
"Tama, IA",19171,722.37
"Taylor, IA",19173,534.83
"Union, IA",19175,425.95
"Van Buren, IA",19177,490.55
"Wapello, IA",19179,435.98
"Warren, IA",19181,573.21
"Washington, IA",19183,570.77
"Wayne, IA",19185,527.08
"Webster, IA",19187,718.05
"Winnebago, IA",19189,401.57
"Winneshiek, IA",19191,689.88
"Woodbury, IA",19193,877.39
"Worth, IA",19195,401.71
"Wright, IA",19197,582.54
KANSAS,20000,82276.84
"Allen, KS",20001,505.18
"Anderson, KS",20003,584.29
"Atchison, KS",20005,435.04
"Barber, KS",20007,1136.21
"Barton, KS",20009,900.46
"Bourbon, KS",20011,638.82
"Brown, KS",20013,572.2
"Butler, KS",20015,1446.42
"Chase, KS",20017,778.01
"Chautauqua, KS",20019,644.83
"Cherokee, KS",20021,590.96
"Cheyenne, KS",20023,1020.84
"Clark, KS",20025,977.2
"Clay, KS",20027,655.44
"Cloud, KS",20029,718.47
"Coffey, KS",20031,654.57
"Comanche, KS",20033,789.7
"Cowley, KS",20035,1132.6
"Crawford, KS",20037,595.05
"Decatur, KS",20039,894.18
"Dickinson, KS",20041,852.12
"Doniphan, KS",20043,397.07
"Douglas, KS",20045,474.47
"Edwards, KS",20047,622.1
"Elk, KS",20049,650.36
"Ellis, KS",20051,900.47
"Ellsworth, KS",20053,723.44
"Finney, KS",20055,1302.62
"Ford, KS",20057,1099.29
"Franklin, KS",20059,576.65
"Geary, KS",20061,404.39
"Gove, KS",20063,1071.47
"Graham, KS",20065,898.67
"Grant, KS",20067,575.04
"Gray, KS",20069,869.34
"Greeley, KS",20071,778.01
"Greenwood, KS",20073,1152.59
"Hamilton, KS",20075,997.62
"Harper, KS",20077,802.95
"Harvey, KS",20079,540.5
"Haskell, KS",20081,577.73
"Hodgeman, KS",20083,860.24
"Jackson, KS",20085,657.86
"Jefferson, KS",20087,556.94
"Jewell, KS",20089,914.47
"Johnson, KS",20091,480.15
"Kearny, KS",20093,871.5
"Kingman, KS",20095,866.7
"Kiowa, KS",20097,722.62
"Labette, KS",20099,653.3
"Lane, KS",20101,717.43
"Leavenworth, KS",20103,468.33
"Lincoln, KS",20105,719.94
"Linn, KS",20107,606.29
"Logan, KS",20109,1073.09
"Lyon, KS",20111,855.14
"McPherson, KS",20113,901.24
"Marion, KS",20115,953.54
"Marshall, KS",20117,904.36
"Meade, KS",20119,979.66
"Miami, KS",20121,590.15
"Mitchell, KS",20123,718.62
"Montgomery, KS",20125,651.4
"Morris, KS",20127,702.84
"Morton, KS",20129,729.94
"Nemaha, KS",20131,719.4
"Neosho, KS",20133,578.02
"Ness, KS",20135,1075
"Norton, KS",20137,881.39
"Osage, KS",20139,719.23
"Osborne, KS",20141,894.28
"Ottawa, KS",20143,721.9
"Pawnee, KS",20145,754.56
"Phillips, KS",20147,894.81
"Pottawatomie, KS",20149,862.07
"Pratt, KS",20151,735.76
"Rawlins, KS",20153,1069.72
"Reno, KS",20155,1271.25
"Republic, KS",20157,720.31
"Rice, KS",20159,728.3
"Riley, KS",20161,622.11
"Rooks, KS",20163,895.36
"Rush, KS",20165,718.42
"Russell, KS",20167,898.98
"Saline, KS",20169,721.28
"Scott, KS",20171,717.64
"Sedgwick, KS",20173,1009.41
"Seward, KS",20175,640.51
"Shawnee, KS",20177,556.32
"Sheridan, KS",20179,896.61
"Sherman, KS",20181,1056.01
"Smith, KS",20183,896.53
"Stafford, KS",20185,794.72
"Stanton, KS",20187,680.06
"Stevens, KS",20189,727.71
"Sumner, KS",20191,1184.78
"Thomas, KS",20193,1074.9
"Trego, KS",20195,899.02
"Wabaunsee, KS",20197,799.8
"Wallace, KS",20199,914.05
"Washington, KS",20201,898.84
"Wichita, KS",20203,718.54
"Wilson, KS",20205,574.97
"Woodson, KS",20207,505.45
"Wyandotte, KS",20209,155.69
KENTUCKY,21000,40409.02
"Adair, KY",21001,412.23
"Allen, KY",21003,352.04
"Anderson, KY",21005,204.28
"Ballard, KY",21007,273.6
"Barren, KY",21009,499.93
"Bath, KY",21011,283.94
"Bell, KY",21013,361.35
"Boone, KY",21015,256.96
"Bourbon, KY",21017,291.66
"Boyd, KY",21019,161.82
"Boyle, KY",21021,182.99
"Bracken, KY",21023,208.89
"Breathitt, KY",21025,495.29
"Breckinridge, KY",21027,585.53
"Bullitt, KY",21029,300.2
"Butler, KY",21031,431.52
"Caldwell, KY",21033,348.18
"Calloway, KY",21035,410.79
"Campbell, KY",21037,159.43
"Carlisle, KY",21039,199.02
"Carroll, KY",21041,137.27
"Carter, KY",21043,412.15
"Casey, KY",21045,445.73
"Christian, KY",21047,724.01
"Clark, KY",21049,255.16
"Clay, KY",21051,471.08
"Clinton, KY",21053,205.54
"Crittenden, KY",21055,370.95
"Cumberland, KY",21057,310.85
"Daviess, KY",21059,476.27
"Edmonson, KY",21061,308.01
"Elliott, KY",21063,235.2
"Estill, KY",21065,255.7
"Fayette, KY",21067,285.52
"Fleming, KY",21069,351.47
"Floyd, KY",21071,395.46
"Franklin, KY",21073,212.11
"Fulton, KY",21075,230.55
"Gallatin, KY",21077,104.67
"Garrard, KY",21079,233.88
"Grant, KY",21081,260.79
"Graves, KY",21083,556.46
"Grayson, KY",21085,510.85
"Green, KY",21087,288.78
"Greenup, KY",21089,354.51
"Hancock, KY",21091,198.92
"Hardin, KY",21093,629.86
"Harlan, KY",21095,467.97
"Harrison, KY",21097,309.88
"Hart, KY",21099,417.91
"Henderson, KY",21101,467.24
"Henry, KY",21103,291.11
"Hickman, KY",21105,252.94
"Hopkins, KY",21107,554.23
"Jackson, KY",21109,346.57
"Jefferson, KY",21111,398.58
"Jessamine, KY",21113,174.45
"Johnson, KY",21115,263.94
"Kenton, KY",21117,164.38
"Knott, KY",21119,353.01
"Knox, KY",21121,387.71
"Larue, KY",21123,263.72
"Laurel, KY",21125,443.74
"Lawrence, KY",21127,420.12
"Lee, KY",21129,211.22
"Leslie, KY",21131,404.36
"Letcher, KY",21133,339.12
"Lewis, KY",21135,495.7
"Lincoln, KY",21137,336.47
"Livingston, KY",21139,342.2
"Logan, KY",21141,557.1
"Lyon, KY",21143,256.42
"McCracken, KY",21145,268.08
"McCreary, KY",21147,430.64
"McLean, KY",21149,256.17
"Madison, KY",21151,443.11
"Magoffin, KY",21153,309.44
"Marion, KY",21155,346.86
"Marshall, KY",21157,340.32
"Martin, KY",21159,230.81
"Mason, KY",21161,246.6
"Meade, KY",21163,324.22
"Menifee, KY",21165,206.03
"Mercer, KY",21167,253.11
"Metcalfe, KY",21169,290.96
"Monroe, KY",21171,332.11
"Montgomery, KY",21173,198.8
"Morgan, KY",21175,383.73
"Muhlenberg, KY",21177,479.43
"Nelson, KY",21179,424.07
"Nicholas, KY",21181,196.85
"Ohio, KY",21183,596.73
"Oldham, KY",21185,196.54
"Owen, KY",21187,354.16
"Owsley, KY",21189,198.09
"Pendleton, KY",21191,281.87
"Perry, KY",21193,342.64
"Pike, KY",21195,788.84
"Powell, KY",21197,180.2
"Pulaski, KY",21199,677.05
"Robertson, KY",21201,100.11
"Rockcastle, KY",21203,318.06
"Rowan, KY",21205,286.25
"Russell, KY",21207,282.82
"Scott, KY",21209,285.3
"Shelby, KY",21211,385.65
"Simpson, KY",21213,236.19
"Spencer, KY",21215,191.8
"Taylor, KY",21217,277.05
"Todd, KY",21219,376.97
"Trigg, KY",21221,481.13
"Trimble, KY",21223,156.23
"Union, KY",21225,363.43
"Warren, KY",21227,547.69
"Washington, KY",21229,301.52
"Wayne, KY",21231,484.2
"Webster, KY",21233,335.68
"Whitley, KY",21235,445.15
"Wolfe, KY",21237,222.86
"Woodford, KY",21239,191.98
LOUISIANA,22000,51839.7
"Acadia, LA",22001,657.62
"Allen, LA",22003,765.67
"Ascension, LA",22005,302.88
"Assumption, LA",22007,364.55
"Avoyelles, LA",22009,865.67
"Beauregard, LA",22011,1165.99
"Bienville, LA",22013,821.77
"Bossier, LA",22015,866.93
"Caddo, LA",22017,936.9
"Calcasieu, LA",22019,1094.34
"Caldwell, LA",22021,540.72
"Cameron, LA",22023,1931.6
"Catahoula, LA",22025,739.43
"Claiborne, LA",22027,767.55
"Concordia, LA",22029,748.68
"De Soto, LA",22031,894.49
"East Baton Rouge, LA",22033,470.54
"East Carroll, LA",22035,442.45
"East Feliciana, LA",22037,455.69
"Evangeline, LA",22039,679.61
"Franklin, LA",22041,635.43
"Grant, LA",22043,664.56
"Iberia, LA",22045,1030.86
"Iberville, LA",22047,652.84
"Jackson, LA",22049,580.34
"Jefferson, LA",22051,642.41
"Jefferson Davis, LA",22053,658.58
"Lafayette, LA",22055,270.29
"Lafourche, LA",22057,1472.19
"La Salle, LA",22059,662.36
"Lincoln, LA",22061,472.27
"Livingston, LA",22063,702.84
"Madison, LA",22065,650.53
"Morehouse, LA",22067,805.2
"Natchitoches, LA",22069,1299.3
"Orleans, LA",22071,350.21
"Ouachita, LA",22073,632.7
"Plaquemines, LA",22075,2428.54
"Pointe Coupee, LA",22077,590.68
"Rapides, LA",22079,1361.96
"Red River, LA",22081,402.08
"Richland, LA",22083,564.51
"Sabine, LA",22085,1011.51
"St. Bernard, LA",22087,1793.75
"St. Charles, LA",22089,410.16
"St. Helena, LA",22091,409.46
"St. James, LA",22093,257.79
"St. John the Baptist, LA",22095,347.84
"St. Landry, LA",22097,938.83
"St. Martin, LA",22099,816.46
"St. Mary, LA",22101,1118.83
"St. Tammany, LA",22103,1124.08
"Tangipahoa, LA",22105,823.12
"Tensas, LA",22107,641.2
"Terrebonne, LA",22109,2079.9
"Union, LA",22111,905.28
"Vermilion, LA",22113,1538.31
"Vernon, LA",22115,1341.51
"Washington, LA",22117,675.97
"Webster, LA",22119,615.07
"West Baton Rouge, LA",22121,203.62
"West Carroll, LA",22123,360.32
"West Feliciana, LA",22125,426.01
"Winn, LA",22127,956.91
MAINE,23000,35384.65
"Androscoggin, ME",23001,497.23
"Aroostook, ME",23003,6828.79
"Cumberland, ME",23005,1216.89
"Franklin, ME",23007,1744.31
"Hancock, ME",23009,2351.03
"Kennebec, ME",23011,951.18
"Knox, ME",23013,1142.1
"Lincoln, ME",23015,699.81
"Oxford, ME",23017,2175.26
"Penobscot, ME",23019,3556.14
"Piscataquis, ME",23021,4377.36
"Sagadahoc, ME",23023,370.19
"Somerset, ME",23025,4095.37
"Waldo, ME",23027,852.74
"Washington, ME",23029,3254.91
"York, ME",23031,1271.34
MARYLAND,24000,12406.68
"Allegany, MD",24001,429.82
"Anne Arundel, MD",24003,587.9
"Baltimore, MD",24005,682.03
"Calvert, MD",24009,345.09
"Caroline, MD",24011,326.06
"Carroll, MD",24013,452.4
"Cecil, MD",24015,417.88
"Charles, MD",24017,643.22
"Dorchester, MD",24019,982.92
"Frederick, MD",24021,667.34
"Garrett, MD",24023,655.9
"Harford, MD",24025,526.72
"Howard, MD",24027,253.55
"Kent, MD",24029,414.31
"Montgomery, MD",24031,507.14
"Prince George's, MD",24033,498.45
"Queen Anne's, MD",24035,509.79
"St. Mary's, MD",24037,764.5
"Somerset, MD",24039,610.78
"Talbot, MD",24041,476.77
"Washington, MD",24043,467.55
"Wicomico, MD",24045,399.79
"Worcester, MD",24047,694.73
"Baltimore city, MD",24510,92.08
MASSACHUSETTS,25000,10554.57
"Barnstable, MA",25001,1305.62
"Berkshire, MA",25003,946.27
"Bristol, MA",25005,691.19
"Dukes, MA",25007,490.95
"Essex, MA",25009,828.53
"Franklin, MA",25011,724.74
"Hampden, MA",25013,634.12
"Hampshire, MA",25015,545.44
"Middlesex, MA",25017,847.54
"Nantucket, MA",25019,303.64
"Norfolk, MA",25021,443.94
"Plymouth, MA",25023,1093.39
"Suffolk, MA",25025,120.19
"Worcester, MA",25027,1579.02
MICHIGAN,26000,96716.11
"Alcona, MI",26001,1790.54
"Alger, MI",26003,5049.08
"Allegan, MI",26005,1833.3
"Alpena, MI",26007,1695
"Antrim, MI",26009,601.9
"Arenac, MI",26011,680.81
"Baraga, MI",26013,1068.85
"Barry, MI",26015,576.9
"Bay, MI",26017,630.91
"Benzie, MI",26019,859.64
"Berrien, MI",26021,1581.38
"Branch, MI",26023,519.49
"Calhoun, MI",26025,718.44
"Cass, MI",26027,508.46
"Charlevoix, MI",26029,1390.76
"Cheboygan, MI",26031,885.23
"Chippewa, MI",26033,2697.98
"Clare, MI",26035,575.22
"Clinton, MI",26037,574.57
"Crawford, MI",26039,563.37
"Delta, MI",26041,1991.58
"Dickinson, MI",26043,777.12
"Eaton, MI",26045,579.02
"Emmet, MI",26047,882.26
"Genesee, MI",26049,649.34
"Gladwin, MI",26051,516.43
"Gogebic, MI",26053,1476.43
"Grand Traverse, MI",26055,601.13
"Gratiot, MI",26057,571.61
"Hillsdale, MI",26059,607.14
"Houghton, MI",26061,1501.56
"Huron, MI",26063,2136.47
"Ingham, MI",26065,560.94
"Ionia, MI",26067,580.23
"Iosco, MI",26069,1890.77
"Iron, MI",26071,1211.02
"Isabella, MI",26073,577.75
"Jackson, MI",26075,723.76
"Kalamazoo, MI",26077,580.18
"Kalkaska, MI",26079,570.76
"Kent, MI",26081,872.18
"Keweenaw, MI",26083,5965.96
"Lake, MI",26085,574.6
"Lapeer, MI",26087,663.08
"Leelanau, MI",26089,2532.38
"Lenawee, MI",26091,761.31
"Livingston, MI",26093,585.43
"Luce, MI",26095,1911.89
"Mackinac, MI",26097,2100.55
"Macomb, MI",26099,569.78
"Manistee, MI",26101,1280.77
"Marquette, MI",26103,3425.17
"Mason, MI",26105,1241.86
"Mecosta, MI",26107,571.1
"Menominee, MI",26109,1337.99
"Midland, MI",26111,527.89
"Missaukee, MI",26113,573.82
"Monroe, MI",26115,680.03
"Montcalm, MI",26117,720.98
"Montmorency, MI",26119,562.44
"Muskegon, MI",26121,1459.3
"Newaygo, MI",26123,861.39
"Oakland, MI",26125,908
"Oceana, MI",26127,1306.73
"Ogemaw, MI",26129,574.63
"Ontonagon, MI",26131,3741.45
"Osceola, MI",26133,573.1
"Oscoda, MI",26135,571.57
"Otsego, MI",26137,525.98
"Ottawa, MI",26139,1631.97
"Presque Isle, MI",26141,2572.75
"Roscommon, MI",26143,579.84
"Saginaw, MI",26145,815.78
"St. Clair, MI",26147,836.63
"St. Joseph, MI",26149,521.15
"Sanilac, MI",26151,1590.22
"Schoolcraft, MI",26153,1883.69
"Shiawassee, MI",26155,540.73
"Tuscola, MI",26157,913.82
"Van Buren, MI",26159,1090.19
"Washtenaw, MI",26161,722.53
"Wayne, MI",26163,672.2
"Wexford, MI",26165,575.84
MINNESOTA,27000,86938.87
"Aitkin, MN",27001,1995.31
"Anoka, MN",27003,446.26
"Becker, MN",27005,1445.11
"Beltrami, MN",27007,3055.59
"Benton, MN",27009,413
"Big Stone, MN",27011,527.88
"Blue Earth, MN",27013,765.9
"Brown, MN",27015,618.6
"Carlton, MN",27017,875.23
"Carver, MN",27019,376.15
"Cass, MN",27021,2414.21
"Chippewa, MN",27023,587.83
"Chisago, MN",27025,442.49
"Clay, MN",27027,1052.74
"Clearwater, MN",27029,1029.79
"Cook, MN",27031,3339.72
"Cottonwood, MN",27033,648.91
"Crow Wing, MN",27035,1156.56
"Dakota, MN",27037,586.33
"Dodge, MN",27039,439.63
"Douglas, MN",27041,719.94
"Faribault, MN",27043,721.61
"Fillmore, MN",27045,862.15
"Freeborn, MN",27047,722.63
"Goodhue, MN",27049,780.44
"Grant, MN",27051,575.18
"Hennepin, MN",27053,606.38
"Houston, MN",27055,568.91
"Hubbard, MN",27057,999.39
"Isanti, MN",27059,451.87
"Itasca, MN",27061,2927.78
"Jackson, MN",27063,719.46
"Kanabec, MN",27065,533.38
"Kandiyohi, MN",27067,861.97
"Kittson, MN",27069,1103.51
"Koochiching, MN",27071,3154.32
"Lac qui Parle, MN",27073,778.05
"Lake, MN",27075,2990.82
"Lake of the Woods, MN",27077,1775.05
"Le Sueur, MN",27079,473.86
"Lincoln, MN",27081,548.44
"Lyon, MN",27083,721.46
"McLeod, MN",27085,505.67
"Mahnomen, MN",27087,582.99
"Marshall, MN",27089,1812.79
"Martin, MN",27091,729.56
"Meeker, MN",27093,645.08
"Mille Lacs, MN",27095,681.77
"Morrison, MN",27097,1153.32
"Mower, MN",27099,711.71
"Murray, MN",27101,719.52
"Nicollet, MN",27103,466.95
"Nobles, MN",27105,722.33
"Norman, MN",27107,876.82
"Olmsted, MN",27109,654.5
"Otter Tail, MN",27111,2224.91
"Pennington, MN",27113,618.34
"Pine, MN",27115,1434.57
"Pipestone, MN",27117,466.15
"Polk, MN",27119,1997.81
"Pope, MN",27121,717.29
"Ramsey, MN",27123,170.13
"Red Lake, MN",27125,432.51
"Redwood, MN",27127,881.24
"Renville, MN",27129,987.22
"Rice, MN",27131,516.13
"Rock, MN",27133,482.84
"Roseau, MN",27135,1678.33
"St. Louis, MN",27137,6859.91
"Scott, MN",27139,368.56
"Sherburne, MN",27141,451
"Sibley, MN",27143,600.41
"Stearns, MN",27145,1389.93
"Steele, MN",27147,432.16
"Stevens, MN",27149,575.24
"Swift, MN",27151,752.35
"Todd, MN",27153,979.34
"Traverse, MN",27155,585.96
"Wabasha, MN",27157,549.83
"Wadena, MN",27159,543
"Waseca, MN",27161,432.81
"Washington, MN",27163,423.16
"Watonwan, MN",27165,439.92
"Wilkin, MN",27167,751.63
"Winona, MN",27169,641.59
"Wright, MN",27171,714.39
"Yellow Medicine, MN",27173,763.39
MISSISSIPPI,28000,48430.19
"Adams, MS",28001,486.25
"Alcorn, MS",28003,401.35
"Amite, MS",28005,731.64
"Attala, MS",28007,737.1
"Benton, MS",28009,408.65
"Bolivar, MS",28011,905.76
"Calhoun, MS",28013,587.97
"Carroll, MS",28015,634.54
"Chickasaw, MS",28017,504.27
"Choctaw, MS",28019,419.81
"Claiborne, MS",28021,501.36
"Clarke, MS",28023,693.41
"Clay, MS",28025,416.02
"Coahoma, MS",28027,583.14
"Copiah, MS",28029,779.38
"Covington, MS",28031,414.94
"DeSoto, MS",28033,496.77
"Forrest, MS",28035,470.17
"Franklin, MS",28037,566.74
"George, MS",28039,483.63
"Greene, MS",28041,718.69
"Grenada, MS",28043,449.38
"Hancock, MS",28045,552.53
"Harrison, MS",28047,976.15
"Hinds, MS",28049,877.35
"Holmes, MS",28051,764.18
"Humphreys, MS",28053,431.16
"Issaquena, MS",28055,441.36
"Itawamba, MS",28057,540.42
"Jackson, MS",28059,1043.3
"Jasper, MS",28061,677.44
"Jefferson, MS",28063,527.19
"Jefferson Davis, MS",28065,409.1
"Jones, MS",28067,699.73
"Kemper, MS",28069,767
"Lafayette, MS",28071,679.29
"Lamar, MS",28073,500.49
"Lauderdale, MS",28075,715.28
"Lawrence, MS",28077,435.73
"Leake, MS",28079,585.39
"Lee, MS",28081,453.14
"Leflore, MS",28083,606.35
"Lincoln, MS",28085,588.17
"Lowndes, MS",28087,516.45
"Madison, MS",28089,741.97
"Marion, MS",28091,548.58
"Marshall, MS",28093,709.8
"Monroe, MS",28095,772.04
"Montgomery, MS",28097,407.86
"Neshoba, MS",28099,571.64
"Newton, MS",28101,579.58
"Noxubee, MS",28103,700.05
"Oktibbeha, MS",28105,461.9
"Panola, MS",28107,705.13
"Pearl River, MS",28109,818.93
"Perry, MS",28111,650.2
"Pike, MS",28113,410.78
"Pontotoc, MS",28115,500.99
"Prentiss, MS",28117,418.24
"Quitman, MS",28119,406.49
"Rankin, MS",28121,806.09
"Scott, MS",28123,610.38
"Sharkey, MS",28125,434.88
"Simpson, MS",28127,590.53
"Smith, MS",28129,637.27
"Stone, MS",28131,448.07
"Sunflower, MS",28133,707.22
"Tallahatchie, MS",28135,652.08
"Tate, MS",28137,410.95
"Tippah, MS",28139,459.97
"Tishomingo, MS",28141,444.54
"Tunica, MS",28143,480.78
"Union, MS",28145,416.87
"Walthall, MS",28147,404.44
"Warren, MS",28149,618.76
"Washington, MS",28151,761.26
"Wayne, MS",28153,813.5
"Webster, MS",28155,423.34
"Wilkinson, MS",28157,687.66
"Winston, MS",28159,610.11
"Yalobusha, MS",28161,495
"Yazoo, MS",28163,934.12
MISSOURI,29000,69704.31
"Adair, MO",29001,569.32
"Andrew, MO",29003,436.5
"Atchison, MO",29005,547.36
"Audrain, MO",29007,696.79
"Barry, MO",29009,790.89
"Barton, MO",29011,596.72
"Bates, MO",29013,851.37
"Benton, MO",29015,752.48
"Bollinger, MO",29017,621.2
"Boone, MO",29019,691.31
"Buchanan, MO",29021,414.57
"Butler, MO",29023,698.97
"Caldwell, MO",29025,429.72
"Callaway, MO",29027,847.03
"Camden, MO",29029,708.86
"Cape Girardeau, MO",29031,586.29
"Carroll, MO",29033,702.3
"Carter, MO",29035,509.02
"Cass, MO",29037,702.67
"Cedar, MO",29039,498.51
"Chariton, MO",29041,768.25
"Christian, MO",29043,564.05
"Clark, MO",29045,511.9
"Clay, MO",29047,408.86
"Clinton, MO",29049,423.47
"Cole, MO",29051,399.08
"Cooper, MO",29053,570.22
"Crawford, MO",29055,743.79
"Dade, MO",29057,506.3
"Dallas, MO",29059,542.83
"Daviess, MO",29061,569.07
"DeKalb, MO",29063,425.77
"Dent, MO",29065,754.51
"Douglas, MO",29067,814.6
"Dunklin, MO",29069,547.11
"Franklin, MO",29071,930.65
"Gasconade, MO",29073,526.09
"Gentry, MO",29075,491.81
"Greene, MO",29077,677.8
"Grundy, MO",29079,437.98
"Harrison, MO",29081,726.45
"Henry, MO",29083,732.55
"Hickory, MO",29085,411.74
"Holt, MO",29087,469.05
"Howard, MO",29089,470.55
"Howell, MO",29091,928.33
"Iron, MO",29093,552.05
"Jackson, MO",29095,616.41
"Jasper, MO",29097,641.32
"Jefferson, MO",29099,664.09
"Johnson, MO",29101,833.03
"Knox, MO",29103,506.77
"Laclede, MO",29105,768
"Lafayette, MO",29107,638.86
"Lawrence, MO",29109,613.38
"Lewis, MO",29111,510.85
"Lincoln, MO",29113,640.41
"Linn, MO",29115,621.46
"Livingston, MO",29117,538.48
"McDonald, MO",29119,539.7
"Macon, MO",29121,812.53
"Madison, MO",29123,497.6
"Maries, MO",29125,529.97
"Marion, MO",29127,444.05
"Mercer, MO",29129,455.18
"Miller, MO",29131,599.94
"Mississippi, MO",29133,428.91
"Moniteau, MO",29135,418.85
"Monroe, MO",29137,670.23
"Montgomery, MO",29139,540.34
"Morgan, MO",29141,613.89
"New Madrid, MO",29143,698.02
"Newton, MO",29145,626.66
"Nodaway, MO",29147,877.75
"Oregon, MO",29149,791.59
"Osage, MO",29151,613.41
"Ozark, MO",29153,755.07
"Pemiscot, MO",29155,512.41
"Perry, MO",29157,484.28
"Pettis, MO",29159,686.34
"Phelps, MO",29161,674.28
"Pike, MO",29163,684.81
"Platte, MO",29165,427.22
"Polk, MO",29167,642.46
"Pulaski, MO",29169,551.41
"Putnam, MO",29171,519.66
"Ralls, MO",29173,483.82
"Randolph, MO",29175,487.65
"Ray, MO",29177,573.57
"Reynolds, MO",29179,814.41
"Ripley, MO",29181,631.66
"St. Charles, MO",29183,592.35
"St. Clair, MO",29185,701.9
"Ste. Genevieve, MO",29186,508.94
"St. Francois, MO",29187,452.4
"St. Louis, MO",29189,523.69
"Saline, MO",29195,764.59
"Schuyler, MO",29197,308.16
"Scotland, MO",29199,439.25
"Scott, MO",29201,426.04
"Shannon, MO",29203,1003.99
"Shelby, MO",29205,502.43
"Stoddard, MO",29207,828.94
"Stone, MO",29209,510.91
"Sullivan, MO",29211,651.43
"Taney, MO",29213,651.48
"Texas, MO",29215,1179.24
"Vernon, MO",29217,837.04
"Warren, MO",29219,437.74
"Washington, MO",29221,762.46
"Wayne, MO",29223,774.09
"Webster, MO",29225,593.69
"Worth, MO",29227,266.75
"Wright, MO",29229,683.18
"St. Louis city, MO",29510,66.15
MONTANA,30000,147042.4
"Beaverhead, MT",30001,5572.04
"Big Horn, MT",30003,5014.65
"Blaine, MT",30005,4238.92
"Broadwater, MT",30007,1238.94
"Carbon, MT",30009,2062.19
"Carter, MT",30011,3348.29
"Cascade, MT",30013,2711.65
"Chouteau, MT",30015,3997
"Custer, MT",30017,3793.22
"Daniels, MT",30019,1426.52
"Dawson, MT",30021,2383.13
"Deer Lodge, MT",30023,741.16
"Fallon, MT",30025,1623.02
"Fergus, MT",30027,4350.36
"Flathead, MT",30029,5256.45
"Gallatin, MT",30031,2631.84
"Garfield, MT",30033,4847.54
"Glacier, MT",30035,3037.11
"Golden Valley, MT",30037,1176.4
"Granite, MT",30039,1733.11
"Hill, MT",30041,2916.05
"Jefferson, MT",30043,1658.83
"Judith Basin, MT",30045,1870.71
"Lake, MT",30047,1653.72
"Lewis and Clark, MT",30049,3497.56
"Liberty, MT",30051,1447.19
"Lincoln, MT",30053,3675.11
"McCone, MT",30055,2682.77
"Madison, MT",30057,3602.85
"Meagher, MT",30059,2394.83
"Mineral, MT",30061,1223.38
"Missoula, MT",30063,2618.34
"Musselshell, MT",30065,1870.91
"Park, MT",30067,2813.59
"Petroleum, MT",30069,1674.01
"Phillips, MT",30071,5212.17
"Pondera, MT",30073,1639.85
"Powder River, MT",30075,3297.94
"Powell, MT",30077,2332.68
"Prairie, MT",30079,1742.56
"Ravalli, MT",30081,2400.32
"Richland, MT",30083,2103.02
"Roosevelt, MT",30085,2369.65
"Rosebud, MT",30087,5026.94
"Sanders, MT",30089,2790.03
"Sheridan, MT",30091,1706.3
"Silver Bow, MT",30093,718.97
"Stillwater, MT",30095,1804.61
"Sweet Grass, MT",30097,1862
"Teton, MT",30099,2292.58
"Toole, MT",30101,1945.86
"Treasure, MT",30103,984.11
"Valley, MT",30105,5061.98
"Wheatland, MT",30107,1428.29
"Wibaux, MT",30109,890.09
"Yellowstone, MT",30111,2649.05
"Yellowstone National Park, MT",30113,0
NEBRASKA,31000,77353.73
"Adams, NE",31001,564.16
"Antelope, NE",31003,858.43
"Arthur, NE",31005,718.32
"Banner, NE",31007,746.37
"Blaine, NE",31009,714.34
"Boone, NE",31011,687.25
"Box Butte, NE",31013,1077.84
"Boyd, NE",31015,544.59
"Brown, NE",31017,1225.08
"Buffalo, NE",31019,975.27
"Burt, NE",31021,497.1
"Butler, NE",31023,584.41
"Cass, NE",31025,566.21
"Cedar, NE",31027,745.81
"Chase, NE",31029,897.63
"Cherry, NE",31031,6009.54
"Cheyenne, NE",31033,1196.45
"Clay, NE",31035,573.53
"Colfax, NE",31037,418.58
"Cuming, NE",31039,574.54
"Custer, NE",31041,2576.08
"Dakota, NE",31043,267.39
"Dawes, NE",31045,1400.86
